content,score
"Karena sangat bagus dan dapat di gunakan untuk telpon , chat , dan melihat status org semonga aplikasi ini sangat berguna bagi semua org",5
bisaa berwarnan tapi ga bisa tag GRUBB WOII,4
Mantap,5
"untuk updatenya sangat bagus, tapi tolong. setiap kali akunku login seketika semua stiker tidak bisa terlihat, bahkan mengirimnya juga tidak bisa. itu gara-gara apa ya?",4
Baguss,5
tidak sesuai,1
suka,5
"Kenapa ini WA kok jadi ke blokir karena spam,, padahal nomer wa saya kan baru dan gak buat yang aneh2, minta tolong dong jangan di bikin ribet.. makin kacau WA sekarang",2
"keren,tapi lama bgtt lod ya",4
"Wa nya baguss update dan fitur"" nya juga bagus Tpi ini aku kasih bintang 3 aja ya, soalnya Klo buat telpon itu suka mati Sendiri padahal juga sinyal nya bagus dan Lwn bicara juga Bagus Sinyal nya Tpi kenapa Sering Mati"" sendiri Kadang baru Aja telepon 2 menit udah mati sendiri",3
oke,5
"Mau pindah wa ke hp lain tapi kode Verifikasi g keluar keluar, udh di suruh nunggu 7 jam buat minta ulang, tapi tetep g keluar dan harus nunggu lagu 7 jam, tapi g keluar juga, eh malah harus nunggu 13 buat minta ulang, ini gimana yah...ada solusi? Udah coba cara ini itu tetep aja sama...padahal kartu masih aktif",1
Ok,4
Sangat baik dan bermanfaat,5
Mantap kali y,5
"Kadang error terutama Media, foto dan Vidio",2
Halo saya sedang membutuhkan fitur meta AI untuk kebutuhan saya mohon bantuannya untuk memunculkan fitur meta AI karena di WhatsApp saya belum tersedia dan sudah saya update ke versi terbaru.terimakasih,4
What up membantu sekali dalam semua aktivitasku,5
bagus sekali tapi sial nyahh ga ada filter pas lagi vcc dan gada filternya Poto,5
Mantap,5
Gimana ea kalou batal kirim nya bisa lama gitu,5
baik,4
error tidak bisa ngirim chat,1
Bagus👍🏻,5
"Apk nya bagus, pokok nya bagus banget 🌟🌟🌟🌟🌟",5
Bagus.,5
GK bisa WhatsApp an,1
Kurang bgus krena sering keluar watsapp tidak versi resmi,1
oke,4
entah wa saya yg error atau memang pihak developer nya yg lupa naro meta AI di acc saya. saya mohon kasih meta AI juga karena saya membutuhkan nya,4
Baguss,5
𝐵𝑎𝑔𝑢𝑠 𝑘𝑜𝑘 𝑡𝑎𝑝𝑖 𝑎𝑑𝑎 𝑚𝑎𝑠𝑎𝑙𝑎ℎ 𝑢𝑝𝑑𝑎𝑡𝑒 𝑘𝑎𝑛 𝑢𝑑ℎ 𝑙𝑎𝑚𝑎 𝑘𝑜𝑘 𝑎𝑘𝑢 𝑔 𝑎𝑑𝑎 𝑓𝑖𝑡𝑢𝑟 𝑘𝑖𝑟𝑖𝑚 𝑠𝑒𝑘𝑎𝑙𝑖 𝑙𝑖ℎ𝑎𝑡 𝑦𝑎 𝑔𝑖𝑚𝑎𝑛𝑎 𝑖𝑛𝑖,4
"WhatsApp sekarang sistem verifikasinya gaje,ampe nunggu 8 jam segala",1
Bisa membantu....😀😀,5
Bagus,5
Suka,5
cara mengatasi kena spam terus gimana ya pak. saya hampir tiap hari kena spam w.a saya bisa kasih tau apa alasan nya kena spam,3
Jelek,5
Bagussss,5
Mantap,5
Tidak bisa menampilkan efek kamera,1
Saya tidak diizinkan menggunakan WhatsApp Karena di spam..,5
Great,5
"apk konto masa hapus stiker harus pencet satu satu, gada ikon pilih semua lalu hps",1
tidak bisa tag grub!!,2
Mantap,5
Sangat baik dan membantu,5
"fitur HD nya ko ilang, di bagian story wa???",3
Pelayan yang bagus dalam menspam akun dengan tanpa alasan apa yang di langgar,5
good!,5
"tolong benerin dong bug wa nya, kadang beberapa saluran ke unfoll sendiri.",2
Mantap,5
Gua donglot di play store di bilang WhatsApp tidak resmi,1
Makin sini makin rusak💩,3
Maaf kan saya tidak bermaksud untuk begitu,5
Bagus sekali,5
Tidak mengecewakan,5
Kok saya pakai pengaman kunci pake sidik jari pake wajah whatsappnya ga mau terbuka,4
sangat keren,5
Jangan lola dong pas kirim foto video,5
Suka,5
Asmr bgt,5
Ok,5
Apk baguss cuma ga semua update,5
Luar biasa,5
WA tidak dapat terhubung,5
Bagus,4
ini sangat lah bagus dan semua teman teman saya sangat menyukainya,5
Saya bisa televon Buda Ayah atu kakak Suka kali😍😍😍😍😍,5
Good,5
"Wa sy harus menggunakan wa versi resmi padalah sy menggunkan wa ini ,wa ini resmi kan",1
Baik untuk berbagai pitur lain nya terutama bisnis,5
Top bgt,5
"WhatsApp makin kesini makin gajelas , akun WhatsApp saya kena blokir secara tiba tiba dan tidak bisa menggunakan akun saya kembali tanpa kesalahan saya, aplikasi WhatsApp makin gajelas.. !",1
👍👍👍👍,5
baguss bgt aplikasi nyaa 😍,5
Keren buat bisa kebutuhn kita,2
saya sudah update tapi kenapa belum ada fitur nya,1
asik banyak fitur menarik,5
G bisa d buka,1
Owh,5
"akun ini tdk bisa memakai whatshap lagi karena spam, ini knp tba2 d blokir akun ku",1
Ini sangat baik untuk saya like,5
Wa udah g ke buka pengen di buka spam nya bikin kesel,5
"Shif apk whatsapp ini di download ada yg masukin ke spam , jadi ada urusan penting juga blok yg sspamin apk whatsapp ku ini.",5
Fitur baru kok GK muncul di hp redmi xiomi pdahal udh update,1
ʙᴀɢᴜs sᴇᴋᴀʟɪ ᴛᴇᴍᴀ ᴅᴇғᴀᴜʟᴛ ɴʏᴀ,5
Kena spam,2
kalo bikin sw kok kadang jadi blur yaa?,4
Sangat bagus sekali Aku suka,5
Mohon infokan cara agar saya tidak keluar mulu dari whatsapp nya,3
Seruuu,5
kalo mau repost lebih bagus kalo yang ngetag ada usernamenya dan bedain caption yang ngetag sama yang repost,4
Knpa di WhatsApp saya walaupun sudah di aktifkan fitur efek kamera pas saya coba masih tidak ada?,5
Good,5
Aplikasi ini sangat bagus,5
Oke siip,5
"Tolong lah spam2 blokir yg nyusahin, wa buat kerja kekmna sy hubungi ybs dn minta serlokny gx bisa klo d spam2 tross",1
"bagus si bisa costum tema chat, cuma jadi ga keliatan ceklis 2 birunya",4
Cukup memberi informasi,3
Bgus,5
"kenapa WhatsApp error,tidak bisa untuk telpon atau vidiocall kalo di angkat tulisannya menghubungkan",4
"Kenapa selalu kena spam sudah dua kali ganti nomor tetap saja kena spam, Suruh update lagi sudah katanya aplikasi tidak resmi , ini bagaimana kelanjutannya hari ini juga belum bisa. masuk akun WhatsApp, masih spam.",1
Bug telat update,5
aplikasi jelek ga bisa update,5
Good aplication,1
maap ko pas apk nya mau di buka ko ga bisa ya? padahal udh di petbarui.,1
Bagus,5
Bagus lah gak ada iklannya,4
tema chat belum muncul,1
Sangat bagus wa nya enak di gunakan lancar,5
"Maaf kak,aku ngalamin bug keluar sendiri",3
Setelah pembaruan kok tambah error?? Banyak nama kontak wa yg tanpa nama alias nama kontak hilang.,3
Sangat Berguna,5
Sangat bagus,5
Bagus,5
Bagus banget,5
Ok,5
Sangat bagus dan membantu.,4
Makin parah. Setelah update gak bisa terkirim pesan Pesan masuk juga tidak masuk. Makin lemot makin tidak rekomendasi,1
Sangat mmbantu dlm.komunikasi,4
aku ga bisa tg gerup,3
Kenapa punya saya mah udah di update bberapa kli tapi kagak ada fikterny klo vc?,1
Sering keluar sendiri,5
"Lebih bagus lagi kalo ada fitur live nya,min wk",5
God job,5
"WhatsApp sekarang makin gak jelas, dikit² kena blok, kena batasi chat lah... Tolong di benahi",1
Aku suka dgn apps nya,5
Baik,5
"apk nya bagus, tapi asal mau di update lagi biar ngga nge bug/lag slalu harus tunggu 2 bulanan lagi tapi it's okay👌",5
Baik,4
"baguss, update annya juga bagus bgt, tapi bug nya banyak bangett, masa akun pertama ilang adanya akun ke 2. pas mau ganti akun ga ada, akhirnya tambah akun lagi pake nomer yg di akun yg ilang itu. tolong banget ini saya bingung harus ngapain, mana chat yg penting² di akun pertama semua, pd ilang.",5
Oke Sip,5
"Enakan sistem yg dulu Dulu nyari chat gampang bisa dari atas ke bawah atau dari bawah ke atas Sekarang kalau ketik ""cari"" dari chat teratas, trus isi kata kunci nya dan cari kebawah udah ga bisa, jadi susah kalau cari chat yg jauh diatas tp harus mulai scroll dri ujung bawah Sangat membagingkan",1
Ok,4
Dapat mempermudah informasi dan komunikasi teman sejawat dan publik,5
Bagus sihh tapi gimana cara update ke wa beta nya soalnya aku ga bisa orang lain bisa,5
Sangat bagus,5
tolong bug nya di ilangin minn,5
Keren,5
Bagus,5
Sering verifikasi ulang tahun Sering verifikasi ulang,1
bagus bgt,5
Sangat bgs walaupun selalu di perbarui,5
komunikasih lancar,5
Keren,5
Bagus Jak mantap,5
"Akun WhatsApp saya sering log out dan menyatakan ""Akun ini tidak bisa memakai WhatsApp lagi karena Spam"" padahal saya tidak pernah melanggar ketentuan layanan dari WhatsApp",2
"masa gak bisa d instal lagi, aneh",1
Baru saya ikuti ...,5
semakin lebih baik ❤️,5
👍,5
Bintang 1 aja karena anehh masa di hp pacar saya emot 1 itu jadi gede tapi di hp ku kecillll CURANGGGG!!!,1
bagus,5
Bagus,5
Ok,5
Baguss bisaa buat chatan,4
"bagus, tapi kok punya saya ga bisa di ubah ya tema nya, jadi warna pink atau apa malah tetap jadi warna ijo",5
Semoga membatu dan bermanfaat bagi semua pihak yang telah menggunakan aplikasi ini. Terumakasih,5
Sayah menyukai whap,5
Keren,5
🙂,5
"punya saya udah di update tapi tidak ada yang terupdate, biasanya wa saya terupdate sendiri dan pas fitur wallpaper baru dll punya saya tidak terupdate, bagimana ini?",2
Aplikasi nya kurang efesien tolong di update lagi,1
jangan di spam,5
lebih mudah berkomunikasi,5
Bagus,5
Sangat Puas,5
"watsapp sekarang jadi bagus bangettt aku suka tapi bug nya tolong di kurangin yah 🙏🏻. namun pun bug ak sukaaa bangett....,",5
Aplikasi Jelek banget kaya si minel wkwkw,1
Tolong wa nya lebih bagus lagi ya🙏,5
Patanik,2
"Kenapa banyak bug ini semenjak update, kadang bunyi notif gak ada kalau ada pesan masuk",3
"Padahal udah bagus tapi minus 1,,knp storynya nya gak urut pada waktunya,, biasanya yg story baru ada di bagian paling depan/pertama tapi skrg mah udah acak2 an gak sesuai,, jadi di 2025 ini walapun sudah di perbarui tampilan nya tapi masi ada minus, kekurangan,, TOLONG PERBAIKI LAGI YA",3
bagussss,5
Bgs utk komunikasi,5
Sangat membantu,1
"tolong whatsapp wa saya tidak bisa dibuka katanya tidak resmi harus di update setelah saya update ternyata tetap saja,tolong kembalikann wa saya disitu ada data penting",1
Top,5
Bagus,5
Saya gak tau ini bug atau apa tapi pas saya mau kirim pesan ke temen kan pesan nya udah centang ✓✓ udah dua tapi di temen saya kok ga nyampe ga ke kirim,4
Sangat bagus,5
"kadang sula mgelag,tolong ya di perbarui",2
Sangat puas,3
"Kenapa saya kasih bintang 1, karna gk ada global sw ngetag grup",1
"Mengapa WhatsApp saya chat nya tidak berwarna pink dan sebagai nya tolong jelaskan, tadinya sya mau update tetapi tidak bisa kenapa y?",4
"tolong segera diperbaiki error pengunduhan gagal, saya jadi tidak bisa download dokumen, foto, video, stiker, bahkan nonton story pun tidak bisa. segera diperbaiki saya butuh untuk download file"" penting",1
Susah eror,3
kenapa saluran selalu error? terkadang gabisa kirim pesan/ video/ gambar dan selalu pending,3
Kenapa pembaruan status wa suka hilang sendrii??,5
"bro, aku ga bisa update di channel",2
Bagus,3
"can talk to friends, send videos, etc., basically it's really fun👍👍👍",5
Memudahkan hubungan komunikasi,4
Lagi penting pentingnya banyak laporan dari kantor masa kena spam saya menggunakan whatsapp udh dari pertama ada whatsapp hari ini baru pertama kali kena spam lagi penting kacau,1
"Kalo bisa menu arsipkan baik posisi atas dan dibawah, sama saja perlakuannya",5
Gud,5
kenapa saya tidak bisa mencoba update☹,3
Jika bahasa percakapan bisa di translate akan lebih bagus lagi.,5
"update tambah parah...masa kirim VN, video, gambar ga bisa😤",3
mantap dah,5
"Ribet banget pake wa sekarang tiba tiba kena spam aja, tolong lahh?",1
Vitur aplod status wa hilang,1
Udh lumayan bagus tapi akp nya masih ngebug bgt Dan masih suka ngeleg. Jadi TOLONG BERBAIKI!,1
Ok,5
whatsApp ini sangat bagus di gunakan karena bisa kirim pesan tanpa kesana kemari bagus banget pokoknya semoga ini berguna juga ya untuk kalian semua,5
Saya suka,5
Semakin kesini semakin gabuttt,5
Saran saya whatsapp jangan sampe tiba2 ke blokir terus byk urusan penting dan sudah mematuhi layanan WhatsApp tetap ajh ke blokir atw kena spam kan aneh,5
"apk bodoh, nomor ak kena blokir mulu, udh ganti no pun msh jga kena blokir. ap mau nya si? cape ak whatsapp ak kena blokir mulu.",1
Gimana mau login kode nya aja gk dikirim,1
"Tolong di perbaiki. Kenapa secara tiba-tiba WhatsApp saya di spam. Padahal saya tidak melakukan tindakan yang melanggar hak cipta ,",1
Bgus,5
Baik betul,5
Bagus,5
Tidak bisa login selalu ada tulisan saya whatsapp saya gunakan tidak ressmi pada udah menggunakan whatsapp resmi mohon bantuan nya terima kasih,5
jelek,1
Kmp wa nya hilang?l,1
Aku aku wa kenapa kena spam terus..apa yg salah...saya sampai tidak bisa nelpon keluarga karena ena spam,3
Napa sering kena sepam,5
Sangat bagus,5
Luar biasa,5
Knp wa saya tidak bisa digunakan?,2
Tolong di update lagi supaya aman dari spam,1
"Singkat aj , knp wa makin update makin bnyak bug? Dan knp beratnya ga sesuai sama apk? Iya wa emmg udh bgus si cmn mkin update mkin berat dan makin banyak bug. Mohon di perbaiki buat bugnya sama buat berat apknya ksian yg ram ny kecil",3
Wa ku kenak blokir😭,1
Oke baik,5
Baguus,5
okee nih,5
Aku tida paham beri tau selngkap nya,5
Not bad,3
Dikit2 akun kena banned.. dikira akun spam padahal akun buat kerja...,1
ko ga bsa di download yah,1
Sangat baik,5
Sangat bagusssss,5
Kenapa selalu bermasalah disaat mentautkan perangkat android ke pc,2
"Jelek banget sekarang tiba tiba chat ilang sendiri, apk gabisa dibuka. Aneh",1
Bagus daptar di ins instragram,5
Aplikasinya cukup keren,4
"baguss kok, tp knp di hp ku gabisa tag grup? padahal sudah update dari lama, tolong perbaiki lagi yaa. terimakasih...",4
Apl bagus tp syngg nmrq gk bisa masuk,5
Lumayan bgs buat komunikasi,5
Tidak bisa login ke akun sebelumnya,2
spam perniagaan,5
Ini sangat bagus sekali cocok untuk saya mengechat bersama teman teman saya,5
Alhamdulilah semenjak memakai aplikasi whatsaa hubungan semakin lancar dan semakin maju befikir .pertemanan makin banyak info info semakin jelas dari grub grub pertemanan yg ada di Kontak saya . Sehingga tidak tertinggal ingo info disekitar kita .terima kasih terimakasih sebanyak banyak nya pada pihhakWhatApp ini .yg telah memudahkan saya dalam keseharian keseharian ini . WhatApp telah membantu saya dalam info info pekerjaan pekerjaan di sekitar status status yg ada di dalam kontak saya sehingg,5
Eror lagi,5
Sangat sujses,5
"aplikasi apaan ini masa ngirim video ga bisa, terus gua apuss mau install lahi gagal teruss aneh ni apk",1
"burik parah, padahal sinyal gua bagus, kok gua chat nge-jam terus, sama kao ada pesan di gua ga ada, padahal yang ngirim dah centang 2, apalah ini apk....",1
Whatsap tidak bisa di gunakan lg.. Gmn ini aku kasih bintang 1,1
Wah😮,5
Mantap,5
mantappp,3
Good,5
Lama banget di donglot bikin kesal deh,1
Kok jadi ada bug nya Lagi vical baru 20 mnt mati? Apa durasinya di batasi Terus bagaimana dengan orang yang zoom meting dengan vcall WhatsApp? Bagaimana kalo pengguna berfikir negatif soal aplikasi WhatsApp ini? Bagaimana kalo para pengguna beralih ke apk lain? Mohon tanggapannya developer Agar pengguna selalu nyaman dengan apk WhatsApp terimakasih:),1
Tidak bisa di download,5
Bagus banget 👍,5
masa gabisa vc sama buka video,1
Bagus,5
Bagus,5
Bagus,5
Sangattt baguss dan menarik,5
Ya mantep,5
Gk bisa masuk,5
Mana fitur tag grup di status whatsapp nyaa,4
"WhatsApp slalu hilang dr aplikasi,2 hari kmdian baru bisa update LG tp cuma sbntr trus hlg LG slalu bgtu,nyesal saya co 3 lagi,ksih saran gmn agar wa ngk hilang2 lg",1
Saya puas sekali🥰😋😋,5
Great app,5
WA sekarang very BAD! sering kena spam jadi ganggu aktifitas kerjaan dari hp pending semua. Najis banget makin ruwet mending pindah aja yuk rame-rame ke aplikasi lain,1
Akun saya di blokir,1
Aplikasi whatsApp ini sering kali tidak pisa mendowload file media,5
Mantap,5
Mantp,5
kenapa dengan munculnya meta ai aplikasi WhatsApp lemot,2
Sering kena spam WA padahal kerjaan saya chat customer buat antar paket Tolong di hilangkan itu spam WA nya...sangat menyusahkan kurir expedisi untuk bekerja,1
Mantap,5
Keren,1
baguss banget,5
Bagus,5
Saya belum mau update setelah baca komentar lainya setelah update video dan gambar jd jelek,4
hp kami makin lalot akibat apk wa selalu minta upgrade padahal makin di upgrade malah tambah hancur,1
Hhuuuu indaaa bgusss,5
Saya suka bngtt sama aplikasi ini,1
Story nya ga bisa buat tag grup padahal udah versi paling baru,2
saya sangat suka masuk di wa karna apalikasi nya aku bisa chetingan dengan orang lain atau menelfon .....,5
Game terbaik sepanjang masa mantab/100🗣️🔥,5
Mei saroh ☺️☺️💝✌️ 2022-2023-2024-2025,5
Ok,5
aplikasinya bagus,4
Kenapa aplikasi WhatsApp tidak tersedia untuk kami & Sampai saat ini tetap TK bisa d perbaiki watshap kami Saya mohon solusinya 🙏 Terima kasih,1
aplikasi gila tidak berguna pemblokiran akun merugikan pengguna,1
mnta tlng donk whatsap yg bnr jgn dikit2 kena spam butuh bgt buat kerja soalnya,2
bagusoptimal,2
Merasa Terbantu dengan adanya Wa,5
Mohon di bantu akun saya di sadap profil di ganti,5
Bagus,5
"Fitur "" Nya dihapus aj kayak sekali lihat am yg lain""",1
ga bisa tag grup giliran orang udah bisa apa coba😹,1
"Saya belum melakukan apa apa akun saya malah kena spam gak bisa di oke lagi , tolong bantuannya",1
Ok,5
Memuaskan mantap WhatsApp messenger luar biasa 👍👍,5
Update ya sangat bagus banget Dan fitur-fiturnya makin bagus kalau menurut gua sih WhatsApp ini sangat sangat bagus👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
Nice!!!!,5
Hebat,5
baik,5
Ok,5
Ok,5
Sekarang bintangnya tak kembalikan menjadi 5.,5
Kok udah di apdet ga ada AI nyhh knpp??,3
"Plis WhatsApp jgn update trus dongg😫 memoku habis apalagi kalo update itu maksa bgttt woyy smpe WhatsApp nya g bisa dibuka plis jangan key gituu aku ini lgi butuh WhatsApp bgt plis deh jgn KY GT , y gpp sih update tpi ram nya jangan banyak2 hp ku memo ny dh penuh woyyyyy😭😭",1
kasih 3 dulu soalnya buka status layar mati sendiri,3
Selalu,5
Bagus,5
Bagaimana cara untuk supaya membuka aplikasi wa,5
lbih enak dulu status berjajar ke bawah bukan ke samping.,5
bagus sekali,5
sngat puas,5
Kode verifikasi melalui SMS dan telepon tidak bisa. Whatsapp???,1
Aplikasinya sangat bagus,5
update kali ini bguss sangat good!,5
Sangat bagus,5
Selalu enggak bisa WhatsApp!!!,1
Aku belum update 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭plis dong aku update kan 😢😢😢😢,2
Good,5
"aku dari tadi up up doang tapi nga bisa up,wa lu error terus",4
Kami senang sekali mempunyai whastapp,4
"Untuk komunikasi lancar dan bagus,fitur fiturnya juga oke",5
Bagus,5
Bagus bapa lutfhi,5
berguna banget sih ini,5
Aplikasi ini sangat bagus buat saya 🐕👌🏻,5
kerennn,5
Sangatlah mudah,3
Baik,5
"Gak tau mau nulis apa.. ada masalah apa dengan WA ku.. WA gak bisa dibuka terus disuruh nulis , Ndak tau apa yang mau ditulis.. tolonglah WA aku perlu kamu sekarang.....",5
Kon**l,1
"aku suka ini sangat bagus, dari dulu aku menanti""kan ini semua",5
Whatsap sangat cepat untuk berkomunikasi,5
"Versi terbaru nggk ada tanggal di menu ""media, tautan dan dok"".",1
Kenapa wa saya tidka bisa dipakai untuk telpon baik yg masuk maupun yang keluar,5
Pesan cadangan yang baru koq hilang setelah daftar ulang,5
sangat bagus,5
Bagus,5
Mantap,5
Good,5
Oke,5
Punyaku belummm update mulu,3
Knpa WA away kok g bsa d buka,1
Aku butuh whatsapp,5
"Kenapa saya kasih bintang 4?, WhatsApp banyak dan bagus fiturnya, tapi saya mengunggah status cuma 60 detik! Contoh: saya punya video 6 menit ngunggah nya ya harus 6 menit masa video 6 menit kepotong jadi 1 menit? tolong di update menjadi tidak terbatas menitnya agar orang yang mengunggah lainnya statusnya tidak kepotong.",4
Baikk,5
kok punya saya belum ada tema chatnya padahal udh di update???,2
Bermanfaat,5
Tolong benerin WhatsApp ini karena aku bikin akun WhatsApp login nya lama,1
Fitur meta ai di dalam WhatsApp tidak bekerja dengan baik saya mencoba bertanya beberapa soal tapi meta ai tidak menjawab nya tolong segera di perbaiki🙏,3
Good,5
Baik,5
Mami,4
Ngak bisa dapat code ferivikasi,1
Bagus bgt jaman sekarang gak perlu jauh jauh untuk komunikasi,5
𝚄𝚍𝚊𝚑 𝚞𝚙𝚍𝚊𝚝𝚎 𝚝𝚊𝚙𝚒 𝚐𝚔 𝚍𝚊𝚙𝚊𝚝 𝚞𝚙𝚍𝚊𝚝𝚎 𝚗𝚢𝚊 𝙶𝚒𝚖𝚊𝚗𝚊 𝚜𝚒𝚑,2
OK,5
simpan,5
"Saya bangga dengan layanan yang diberikan oleh PT Taspen Palembang. Luar biasa bagus. Saya terbayang kalau semua kantor di Negeri ini layanan yang seperti ini, saya yaqin kita akan maju, sebagai negeri yg dibanggakan oleh semua orang. Maju terus PT Taspen. Begitu sampai pintu langsung di beri salam dan ditanya """" Ada yg bisa saya bantu pak? """" Setelah diberi jawaban, kami dipersilakan duduk, dan tunggu paling 5 menit pak. Benar, tak lama selesai urusan kami. Terima kasih PT Taspen, www",5
Ok tapi knapa terkadang aplikasi error... Dibuka langsung tutup kembali ?,5
Dijadiin buat kurir tapi keblokir spam trus aplikasi stres,1
sangat membantu,5
aplikasi nya bagus,5
Pasti kalau aku pakek. baru seminggu pasti penyimpananya langsung penuh,3
Lama malah ulang lagi dari nol,1
"𝑨𝒌𝒖 𝒏𝒈𝒈𝒂 𝒏𝒈𝒆 𝒔𝒑𝒂𝒎 𝒕𝒂𝒑𝒊 𝒘𝒉𝒂𝒕𝒔𝒂𝒑𝒑 𝒏𝒚𝒂 𝒏𝒈𝒈𝒂 𝒃𝒊𝒔𝒂 𝒅𝒊 𝒃𝒖𝒌𝒂 ,𝒌𝒂𝒕𝒂𝒏𝒚𝒂 𝒌𝒂𝒓𝒆𝒏𝒂 𝒔𝒑𝒂𝒎 ,𝒑𝒂𝒅𝒂𝒉𝒂𝒍 𝒂𝒌𝒖 𝒏𝒈𝒈𝒂 𝒏𝒈𝒆 𝒔𝒑𝒂𝒎",5
Whasap makin sini makin aneh🥲 suruh download yg resmi udh unistal bbrap kali tapi msh sama akun adh Ter verivikasi katanya blum terverifikasi vikasi knp sh😑😑 trus k spam lagi apalah orang GK pernah pake ap padahal grup dikit tapi masih kspamm Alaahhh ginma in mohon tanggapan ny,1
Kalau bikin status video tolong dong kualitasnya bisa pilih hd jangan jadi burik banget,3
Mudah digunakan dan bisa membantu pekerjaan,5
perfect.,5
"pas up sw jadi buriq bjir aowkaowwo, sama minusnya ada batasan durasi (ga bisa lebih dari 1 menit)",5
"Wa saya nge bug, sudah update perangkat sdh update versi ttp tdk bisa",1
Ok,5
Terimakasi hadirnya whatsapp Semoga pelayananya lebih lagi TERIMAKASIIH....,4
"aplikasi ini baik!! tetapi 1 semua orang sudah bisa diganti tema chat nya menjadi warna warni.. tapii punya sendiri belumm hehe, tolong ya min whasap punya saya vivo y19s tolong diupdate menjadi tema chat yang bisa diganti dengan warna warni kalo hijau terus saya bosan.. 🙏",5
"Tuan. Kenapa Meta AI tidak ditambahkan pesan suara? Kalau adakan jadi lebih mudah. Dan dengan begitu Meta bisa berbicara dan memiliki suara sendiri! Dengan begitukan Meta bisa berbicara dan berinteraksi secara langsung. Dan bisa kah Meta diisi dengan suara laki laki, tapi agak halus suaranya agar tidak seram. Kumohon ya. Akan kutunggu.",5
💕,1
Baik,5
Sangat puas dgn layanan WhatsApp,5
sangat bagus,5
Thanks WhatsApp telah memberikan yg terbaik untuk kami semua,5
Kameraku nggak bisa di pake semenjak update terbaru,1
Berguna,5
"kasih ranting 3, pliss buatkan arsip status yg bisa di lihat, dari pertama main waa, WhatsApp tolong banget yaa, trs kasih bintang 5, sya hanya ingin ituu...",3
Sangat memuaskan terhubung dengan whatsapp,4
Menurut saya bagus namun terkadang...,4
Sangat puas,5
Saya sudah tautkan email tapi tidak di bantu untuk menerima kode Verifikasi lewat email,1
