review,sentimen
jelek,negatif
bagussss,positif
mantap,positif
menampilkan efek kamera,netral
diizinkan whatsapp spam,netral
great,netral
apk konto hapus stiker pencet gada ikon pilih hps,netral
tag grub,netral
mantap,positif
membantu,netral
fitur hd nya ko ilang story wa,netral
pelayan bagus menspam akun alasan langgar,positif
good,netral
tolong benerin bug wa nya kadang saluran unfoll,netral
mantap,positif
gua donglot play store bilang whatsapp resmi,netral
rusak,netral
maaf,netral
bagus,positif
mengecewakan,netral
pakai pengaman kunci pake sidik jari pake wajah whatsappnya ga terbuka,netral
keren,netral
lola pas kirim foto video,netral
suka,netral
asmr bgt,netral
ok,netral
apk baguss ga update,positif
,netral
wa terhubung,netral
bagus,positif
bagus teman teman menyukainya,positif
televon buda ayah atu kakak suka kali,netral
good,netral
wa sy wa versi resmi padalah sy menggunkan wa wa resmi,netral
pitur nya bisnis,netral
top bgt,netral
whatsapp kesini gajelas akun whatsapp kena blokir akun kesalahan aplikasi whatsapp gajelas,netral
,netral
baguss bgt aplikasi nyaa,positif
keren kebutuhn,netral
update fitur nya,netral
asik fitur menarik,netral
g d buka,netral
owh,netral
akun tdk memakai whatshap spam knp tba2 d blokir akun ku,netral
like,netral
wa udah g buka pengen buka spam nya bikin kesel,netral
shif apk whatsapp download yg masukin spam urusan blok yg sspamin apk whatsapp ku,netral
fitur gk muncul hp redmi xiomi pdahal udh update,netral
s s,netral
kena spam,netral
kalo bikin sw kadang blur yaa,netral
bagus suka,positif
mohon infokan mulu whatsapp nya,netral
seruuu,netral
kalo repost bagus kalo ngetag usernamenya bedain caption ngetag repost,positif
knpa whatsapp aktifkan fitur efek kamera pas coba,netral
good,netral
aplikasi bagus,positif
oke siip,netral
tolong spam2 blokir yg nyusahin wa kerja kekmna sy hubungi ybs dn serlokny gx klo d spam2 tross,netral
bagus si costum tema chat ga keliatan ceklis 2 birunya,positif
informasi,netral
bgus,netral
whatsapp errortidak telpon vidiocall kalo angkat tulisannya menghubungkan,netral
kena spam kali ganti nomor kena spam suruh update aplikasi resmi kelanjutannya masuk akun whatsapp spam,netral
bug telat update,netral
aplikasi jelek ga update,negatif
good aplication,netral
maap ko pas apk nya buka ko ga ya udh petbarui,netral
bagus,positif
bagus gak iklannya,positif
tema chat muncul,netral
bagus wa nya enak lancar,positif
maaf kakaku ngalamin bug,netral
pembaruan error nama kontak wa yg nama alias nama kontak hilang,netral
berguna,netral
bagus,positif
bagus,positif
bagus banget,positif
ok,netral
bagus membantu,positif
parah update gak terkirim pesan pesan masuk masuk lemot rekomendasi,negatif
mmbantu dlmkomunikasi,netral
ga tg gerup,netral
mah udah update bberapa kli kagak fikterny klo vc,netral
,netral
bagus kalo fitur live nyamin wk,positif
god job,netral
whatsapp gak dikit kena blok kena batasi chat tolong benahi,netral
suka dgn apps nya,netral
,netral
apk nya bagus update biar ngga nge buglag slalu tunggu 2 bulanan its okay,positif
,netral
baguss update annya bagus bgt bug nya bangett akun ilang akun 2 pas ganti akun ga akun pake nomer yg akun yg ilang tolong banget bingung ngapain chat yg akun pd ilang,positif
oke sip,netral
enakan sistem yg nyari chat gampang ketik cari chat teratas trus isi kunci nya cari kebawah udah ga susah cari chat yg diatas tp scroll dri ujung membagingkan,netral
ok,netral
mempermudah informasi komunikasi teman sejawat publik,netral
bagus sihh gimana update wa beta nya ga orang,positif
bagus,positif
tolong bug nya ilangin minn,netral
keren,netral
bagus,positif
verifikasi ulang verifikasi ulang,netral
bagus bgt,positif
bgs perbarui,netral
komunikasih lancar,netral
keren,netral
bagus jak mantap,positif
akun whatsapp log out akun memakai whatsapp spam melanggar ketentuan layanan whatsapp,netral
gak d instal aneh,netral
ikuti,netral
,netral
,netral
bintang 1 aja anehh hp pacar emot 1 gede hp ku kecillll curangggg,netral
bagus,positif
bagus,positif
ok,netral
baguss bisaa chatan,positif
bagus ga ubah ya tema nya warna pink warna ijo,positif
semoga membatu bermanfaat aplikasi terumakasih,netral
sayah menyukai whap,netral
keren,netral
,netral
udah update terupdate wa terupdate pas fitur wallpaper dll terupdate bagimana,netral
aplikasi nya efesien tolong update,netral
spam,netral
mudah berkomunikasi,netral
bagus,positif
puas,positif
watsapp bagus bangettt suka bug nya tolong kurangin yah bug ak sukaaa bangett,positif
aplikasi jelek banget kaya si minel wkwkw,negatif
tolong wa nya bagus ya,positif
patanik,netral
bug semenjak update kadang bunyi notif gak pesan masuk,netral
udah bagus minus 1knp storynya nya gak urut yg story depanpertama skrg mah udah acak2 an gak sesuai 2025 walapun perbarui tampilan nya masi minus kekurangan tolong perbaiki ya,positif
bagussss,positif
bgs utk komunikasi,netral
membantu,netral
tolong whatsapp wa dibuka resmi update update sajatolong kembalikann wa disitu data,netral
top,netral
bagus,positif
gak tau bug pas kirim pesan temen pesan nya udah centang udah temen ga nyampe ga kirim,netral
bagus,positif
kadang sula mgelagtolong ya perbarui,netral
puas,positif
kasih bintang 1 karna gk global sw ngetag grup,netral
whatsapp chat nya berwarna pink nya tolong sya update y,netral
tolong diperbaiki error pengunduhan gagal download dokumen foto video stiker nonton story diperbaiki butuh download file,netral
susah eror,netral
saluran error terkadang gabisa kirim pesan video gambar pending,netral
pembaruan status wa suka hilang sendrii,netral
bro ga update channel,netral
bagus,positif
can talk to friends send videos etc basically its really fun,netral
memudahkan hubungan komunikasi,netral
laporan kantor kena spam whatsapp udh whatsapp kali kena spam kacau,netral
kalo menu arsipkan posisi dibawah perlakuannya,netral
gud,netral
mencoba update,netral
bahasa percakapan translate bagus,positif
update parahmasa kirim vn video gambar ga,negatif
mantap dah,positif
ribet banget pake wa kena spam aja tolong lahh,netral
vitur aplod status wa hilang,netral
udh lumayan bagus akp nya ngebug bgt suka ngeleg tolong berbaiki,positif
ok,netral
whatsapp bagus kirim pesan kesana kemari bagus banget pokoknya semoga berguna ya,positif
suka,netral
kesini gabuttt,netral
saran whatsapp sampe tiba2 blokir byk urusan mematuhi layanan whatsapp ajh blokir atw kena spam aneh,netral
apk bodoh nomor ak kena blokir mulu udh ganti no msh jga kena blokir ap nya si cape ak whatsapp ak kena blokir mulu,netral
gimana login kode nya aja gk dikirim,netral
tolong perbaiki tibatiba whatsapp spam tindakan melanggar hak cipta,netral
bgus,netral
,netral
bagus,positif
login tulisan whatsapp ressmi udah whatsapp resmi mohon bantuan nya terima kasih,netral
jelek,negatif
kmp wa nya hilangl,netral
wa kena spam terusapa yg salahsaya nelpon keluarga ena spam,netral
napa kena sepam,netral
bagus,positif
,netral
knp wa,netral
tolong update aman spam,netral
singkat aj knp wa update bnyak bug knp beratnya ga sesuai apk iya wa emmg udh bgus si cmn mkin update mkin berat bug mohon perbaiki bugnya berat apknya ksian yg ram ny,netral
wa ku kenak blokir,netral
oke,netral
baguus,netral
okee nih,netral
tida paham tau selngkap nya,netral
not bad,netral
dikit2 akun kena banned akun spam akun kerja,netral
ko ga bsa download yah,netral
,netral
bagusssss,positif
bermasalah disaat mentautkan perangkat android pc,netral
jelek banget chat ilang apk gabisa dibuka aneh,negatif
bagus daptar ins instragram,positif
aplikasinya keren,netral
baguss tp knp hp ku gabisa tag grup update tolong perbaiki yaa terimakasih,positif
apl bagus tp syngg nmrq gk masuk,positif
lumayan bgs komunikasi,netral
login akun,netral
spam perniagaan,netral
bagus cocok mengechat teman teman,positif
alhamdulilah semenjak memakai aplikasi whatsaa hubungan lancar maju befikir pertemanan info info grub grub pertemanan yg kontak tertinggal ingo info disekitar terima kasih terimakasih nya pihhakwhatapp yg memudahkan keseharian keseharian whatapp membantu info info pekerjaan pekerjaan status status yg kontak sehingg,netral
sujses,netral
aplikasi ngirim video ga gua apuss install lahi gagal teruss aneh ni apk,netral
burik parah sinyal gua bagus gua chat ngejam kao pesan gua ga ngirim dah centang 2 apalah apk,positif
whatsap lg gmn kasih bintang 1,netral
,netral
mantap,positif
mantappp,positif
good,netral
banget donglot bikin kesal deh,netral
bug nya vical 20 mnt mati durasinya batasi orang zoom meting vcall whatsapp kalo pengguna berfikir negatif aplikasi whatsapp kalo pengguna beralih apk mohon tanggapannya developer pengguna nyaman apk whatsapp terimakasih,netral
download,netral
bagus banget,positif
gabisa vc buka video,netral
bagus,positif
bagus,positif
bagus,positif
sangattt baguss menarik,positif
ya mantep,netral
gk masuk,netral
fitur tag grup status whatsapp nyaa,netral
whatsapp slalu hilang dr aplikasi2 kmdian update lg tp sbntr trus hlg lg slalu bgtunyesal co 3 lagiksih saran gmn wa ngk hilang2 lg,netral
puas,positif
great app,netral
wa very bad kena spam ganggu aktifitas kerjaan hp pending najis banget ruwet mending pindah aja yuk ramerame aplikasi,netral
akun blokir,netral
aplikasi whatsapp kali pisa mendowload file media,netral
mantap,positif
mantp,netral
munculnya meta ai aplikasi whatsapp lemot,netral
kena spam wa kerjaan chat customer paket tolong hilangkan spam wa nyasangat menyusahkan kurir expedisi,netral
mantap,positif
keren,netral
baguss banget,positif
bagus,positif
update baca komentar lainya update video gambar jd jelek,negatif
hp lalot akibat apk wa upgrade upgrade hancur,netral
hhuuuu indaaa bgusss,netral
suka bngtt aplikasi,netral
story nya ga tag grup udah versi,netral
suka masuk wa karna apalikasi nya chetingan orang menelfon,netral
game terbaik mantab100,positif
mei saroh 2022202320242025,netral
ok,netral
aplikasinya bagus,positif
aplikasi whatsapp tersedia tk d perbaiki watshap mohon solusinya terima kasih,netral
aplikasi gila berguna pemblokiran akun merugikan pengguna,netral
mnta tlng donk whatsap yg bnr jgn dikit2 kena spam butuh bgt kerja,netral
bagusoptimal,positif
terbantu wa,netral
mohon bantu akun sadap profil ganti,netral
bagus,positif
fitur nya dihapus aj kayak lihat am yg,netral
ga tag grup giliran orang udah coba,netral
akun kena spam gak oke tolong bantuannya,netral
ok,netral
memuaskan mantap whatsapp messenger,positif
update ya bagus banget fiturfiturnya bagus gua sih whatsapp bagus,positif
nice,netral
hebat,netral
,netral
ok,netral
ok,netral
bintangnya kembalikan 5,netral
udah apdet ga ai nyhh knpp,netral
plis whatsapp jgn update trus dongg memoku habis kalo update maksa bgttt woyy smpe whatsapp nya g dibuka plis key gituu lgi butuh whatsapp bgt plis deh jgn ky gt y gpp sih update tpi ram nya banyak2 hp ku memo ny dh penuh woyyyyy,netral
kasih 3 buka status layar mati,netral
,netral
bagus,positif
membuka aplikasi wa,netral
lbih enak status berjajar samping,netral
bagus,positif
sngat puas,positif
kode verifikasi sms telepon whatsapp,netral
aplikasinya bagus,positif
update kali bguss good,netral
bagus,positif
whatsapp,netral
update plis update,netral
good,netral
up up doang nga upwa lu error,netral
senang whastapp,positif
komunikasi lancar bagusfitur fiturnya oke,positif
bagus,positif
bagus bapa lutfhi,positif
berguna banget sih,netral
aplikasi bagus,positif
kerennn,netral
mudah,netral
,netral
gak tau nulis wa ku wa gak dibuka disuruh nulis ndak tau ditulis tolonglah wa,netral
konl,netral
suka bagus,positif
whatsap cepat berkomunikasi,netral
versi terbaru nggk tanggal menu media tautan dok,netral
wa tidka dipakai telpon yg masuk,netral
pesan cadangan koq hilang daftar ulang,netral
bagus,positif
bagus,positif
mantap,positif
good,netral
oke,netral
punyaku belummm update mulu,netral
knpa wa away g bsa d buka,netral
butuh whatsapp,netral
kasih bintang 4 whatsapp bagus fiturnya mengunggah status 60 detik contoh video 6 menit ngunggah nya ya 6 menit video 6 menit kepotong 1 menit tolong update terbatas menitnya orang mengunggah statusnya kepotong,positif
baikk,netral
tema chatnya udh update,netral
bermanfaat,netral
tolong benerin whatsapp bikin akun whatsapp login nya,netral
fitur meta ai whatsapp mencoba meta ai nya tolong perbaiki,netral
good,netral
,netral
mami,netral
ngak code ferivikasi,netral
bagus bgt jaman gak komunikasi,positif
,netral
ok,netral
simpan,netral
bangga layanan pt taspen palembang bagus terbayang kantor negeri layanan yaqin maju negeri yg dibanggakan orang maju pt taspen pintu langsung salam yg bantu dipersilakan duduk tunggu 5 menit selesai urusan terima kasih pt taspen www,positif
ok knapa terkadang aplikasi error dibuka langsung tutup,netral
dijadiin kurir keblokir spam trus aplikasi stres,netral
membantu,netral
aplikasi nya bagus,positif
pakek seminggu penyimpananya langsung penuh,netral
ulang nol,netral
,netral
whasap aneh suruh download yg resmi udh unistal bbrap kali msh akun adh ter verivikasi blum terverifikasi vikasi knp sh trus k spam apalah orang gk pake ap grup dikit kspamm alaahhh ginma in mohon tanggapan ny,netral
bikin status video tolong kualitasnya pilih hd burik banget,netral
mudah membantu pekerjaan,netral
perfect,netral
pas up sw buriq bjir aowkaowwo minusnya batasan durasi ga 1 menit,netral
wa nge bug update perangkat sdh update versi ttp tdk,netral
ok,netral
terimakasi hadirnya whatsapp semoga pelayananya terimakasiih,netral
aplikasi 1 orang diganti tema chat nya warna warni tapii belumm hehe tolong ya min whasap vivo y19s tolong diupdate tema chat diganti warna warni kalo hijau bosan,netral
tuan meta ai pesan suara adakan mudah meta berbicara memiliki suara begitukan meta berbicara berinteraksi langsung kah meta diisi suara laki laki halus suaranya seram kumohon ya kutunggu,netral
,netral
,netral
puas dgn layanan whatsapp,positif
bagus,positif
thanks whatsapp yg terbaik,positif
kameraku nggak pake semenjak update terbaru,netral
berguna,netral
kasih ranting 3 pliss buatkan arsip status yg lihat main waa whatsapp tolong banget yaa trs kasih bintang 5 sya ituu,netral
memuaskan terhubung whatsapp,netral
bagus terkadang,positif
puas,positif
tautkan email bantu menerima kode verifikasi email,netral
bagus bug gak ngirim vidio pas dapet wa wa nya delay perbaiki whatsapp,positif
bagus,positif
bagus gabisa kalo status orang suka tanda lika tag mah gaada,positif
woi kocak coba hapus fitur tag grup bocah caper tolong hapus,netral
log in gabisa whatsapp tolong la gimana chat orng grup akun,netral
okay,netral
semenjak update jdi bug gabisa ngirim vidio sw orang males makasi,netral
whatsap sebentarsebentar kena spam,netral
oke bgt suka,netral
membantu berkomunikasi,netral
masuk nya,netral
kecilin ukuran nya instal 600 an mb,netral
nomor kontak tdk muncul,netral
baguss,positif
aplikasi whatsap download,netral
apasih aplikasi spam ban salah,netral
bikin sw burik bgt tolong perbaiki gaperlu kompres vidio foto terbaca tulisannyal,netral
ai nya banget chatgbt grok,netral
,netral
bagus,positif
kesini ga,netral
tolong whatsapp ya ko gabisa update ya coba fitur udh coba berkali kali gabisa mohon mengerti kritikan dri terimakasi,netral
wa emang error kah,netral
update foto profil nya ilang aneh,netral
mantap,positif
gimana aneh banget si jd males,netral
oke,netral
belanja cod,netral
ok,netral
washatp emang aplikasih sanga5 ok thanks,netral
burik kualitas foto video,netral
good,netral
ok,netral
bagus,positif
,netral
ayok kembangin apknya bikin status wa biar 4k wkkwkwk,netral
download,netral
wa centang biru pengaturanya laporan baca tolong jelasin yg klo kirim pesan nomer ya centang biru,netral
buka watsap,netral
buset dah gua tbtb wa gak log in,netral
luwar,netral
keren bagus nambah wa orang,positif
bermanfaat,netral
tambahin fitur komen sw,netral
algorithm status teman2 yg lainya,netral
hadeuh ngebug melulu,netral
aplikasi bagustapi knpa ya kena spam,positif
mantaap,netral
fitur telat muluyg udah dapet gw nunggu nunggu nya,netral
terdownload aplikasi whatsapp nya,netral
heyy teman update meta ai fitur share audio channel stiker sya pending kuota lancar rahhhhh,netral
dh diupdate berkaligada meta buble chat dann tema chat,netral
bagus,positif
top,netral
sebenernya bagus nya segi tolonglah hilang meta kenon spam pesan spam tolong perbaikin meta kenon spam muak liat nya,positif
whatsapp bagus,positif
mengecewakan baginda ratu,netral
bagus,positif
bagus whatsapp nya,positif
,netral
coba nih,netral
spam diblokir ya tolong diperbaiki,netral
good,netral
mohon whatsapp tolong perbaiki akun whatsapp terbelokir tibamohon bantuannya,netral
donwlod washadap tidah,netral
wa sya spam no imel tetep spam tolong lahhh,netral
yg ter,netral
mantap,positif
thank youuu whatsapp udah update wa udah pake yank pinkkies 3 big thankss 3,netral
good,netral
instal ulang wa chat pesan suara notifikasinya kalo pesan masuk android 13,netral
tolong buka blokir akun akun,netral
bagus bnget,positif
membantu membutuhkan,netral
kecewa si fitur hd pas up snap diilangin payah,negatif
ga tag grupp,netral
suka,netral
bagus,positif
ok,netral
ngobrol berguna komunikasi,netral
,netral
install gk bisaa,netral
bagus,positif
iya hpe upd fitur tema chat nya gajelas bgt gimana si wa giliran tmn sdh pd dpt pdhal klo diliat hp sy jg bkn hp jadul,netral
aga lemot2,netral
riwayat chat hilang,netral
bagus,positif
aplikasi berguna menelepon video call orang rumahnya,netral
efek nya ga muncul ngebug tolong filter bagus,positif
nya wathsap membantu banget karna mempermudah berkomunikasi,netral
,netral
whatsapp nya gabisa,netral
knp akun spam ya,netral
sih akun memakai whatsapp kena spam gimana,netral
mantap,positif
memudahkan,netral
ganti nomor telpon daftar wa menggunanakan whatsapp resmi pake whatsapp resmi download play store aneh aneh,netral
semoga ga spam,netral
temp at berbisnis,netral
membantu,netral
pelajari kerena aplikasi whatsapp instal,netral
wa gbsa tag,netral
knp whatsapp aq sekring kena span trus langkah gmn,netral
telpon putus putus jaringan bagus,positif
aplikasi bagus,positif
knp klo ngirim foto saluran tanda warna merah,netral
nyaman dgn washap skrg,netral
wa eror,netral
bagus,positif
wa anjing,netral
semoga aja sih tampilan jam update statusnya gak ngaco,netral
ok,netral
wa gk enak kerana,netral
susah download,netral
wa lemot,netral
ok,netral
bagus,positif
diblok menerus alasan akun spam,netral
sorry to say fitur meta ai hp ku,netral
menarik,netral
masuk aplikasi kode otp kemarin sulit masuktolong permudah kode otpnyakarna nomor aktfi,netral
mantap,positif
aja,netral
sukaa,netral
dpt rekam suara pake nada tolong apded lgi makasih,netral
bagus,positif
i like this semoga bagus nyaman video call nya,positif
fitur nihorang orang udah chattema,netral
whatsappkomunikasi mudahdan hemat biayaterima kasih whatsapp,netral
cocok,netral
ya download aplikasi ga muncul,netral
ok,netral
gaada tema yg masi bgt nunggunya temen uda ganti tema pinky gitu ayo wa update in jga update ga kebagian pojok kelas ketemu pojok uda versi hp yg ga memungkin jga uda iya launching in jga ih,netral
,netral
memuaskan,netral
suka wa,netral
aplikasi membantu akses info,netral
udah bagus update ko saluran nge lag banget ya suka ga kekirim bikin saluran tolong perbaiki ya,positif
lumayan,netral
wa kalo lagii telpon suara tut tut nya ga semoga paham yaa inii kak gem semogaa kmuu pahamm,netral
bos cilok,netral
menca kode pin watsap yg lupa,netral
coba menghapus data merisetkan sengaja riset sv sv kontak tpi menyimpan kontaksaat klik simpan kontak bacaantidak menyimpan kontak initapi kontak simpan,netral
membantu,netral
aneh bgt abis update ga vctelpon,netral
login whatsapp,netral
aplikasi bgus,netral
,netral
bagus tingkat kualitas vidio story bagus,positif
kenaph whatsapp kekuci,netral
tolong dibuka washafwa,netral
ok,netral
aplikasi gjlsgda cw ngcht,netral
aplikasinya gogobologan,netral
super delll,netral
wa nya bagus bangga,positif
sip duludeh biar tanggapin,netral
suka luna bosqu semiga jaya,netral
bagus,positif
ok,netral
,netral
baguss,positif
berat aplikasinya loading,netral
redmi 9a alasan whatsapp resmi,netral
mudah gunskan,netral
ok,netral
kasih bintang 3 ya min whatsapp meta ai nya ya bingung teman teman meta ai nya nya,netral
wasap gw d spam ya,netral
ok,netral
login pas isi nama,netral
kesal meta ai,netral
mantap,positif
perantau,netral
ist the best,netral
tolong kembalikan urutan tampilan story teman sesuai diacak,netral
whatsaap sip,netral
mantap,positif
oke,netral
ok mantul aplikasi bagus singkat padat cepat jelasmantap,positif
suka memakai whatsapp,netral
whatsapp dipakai mendownloadnya,netral
okey,netral
oke,netral
efek whatsapp vc apak blm update tolong bntu,netral
top,netral
mohon bantu sayah adah kesalaan apah sampek whatsapp sayah ngak bisah sayah,netral
bikin fitur pemulihan pesan butuh banget ni plish,netral
mantap,positif
akun whatsapp kena spam lg,netral
tolong pulih wa yg blokir spam,netral
,netral
keren,netral
mantap,positif
mantap,positif
ok,netral
bagus wa live,positif
bagus,positif
sejuta umat,netral
akun gk kena pakek,netral
,netral
sya aplikasi ny bagustp ad yg kurng untk sluran whatsapp ny knp pesn ny tdk bsa d rply,positif
tau kebenaranya 3 bintang uda aplikasi whatsapp,netral
call suka bug layar hitam pas scroll keatasmau nyetel apk apapun,netral
ok meta ai,netral
bagus,positif
sdh download whatsapp pas bikin status ngga terpaksa download whatsapp bisnis eh whatsapp bisnis error gimana si pembuat aplikasinya tolong diperhatiin ngga nyaman bngt pakai aplikasi errornya,netral
whatsapp ya gak terima kirim pesan hapus foto tulisannya pakai bahasa inggris update jelek aplikasi bagus,positif
mudah ngobrol,netral
alasannya kena ben,netral
bagus,positif
assalamualaikum pasang wallpaper iya poto nyaa perkecil sebelah tolong perbaiki iyaa,netral
ga nengok story orang ga diblokir ga privat mohon secepatnya,netral
memudahkan,netral
good job,netral
dgn whatsapp ku knp gak muncul story smua org,netral
plis tolong deh kalo post vid wa jelek banget cuyyyy kesemutan parah,negatif
thebest,netral
,netral
tolong diperbaiki wa ku kena blokir spam teruss pelanggaran,netral
,netral
,netral
watsap alat komunikasi yg berguna menghubungi orang jarak nya terimakasih watsap,netral
mandor bangunan,netral
ok,netral
kesini jelek apk nya teleponan aja mati mati trs ga jelass,negatif
lgi eror kah pesan gk muncul udh 2 jam yg aja gimana iniii pusing deh pesan gk balas eh yg gk balas pesan karna gk muncul,netral
kenapaa whatsap eror yaa,netral
assalamualaikum admin whatsaap terhormat memohon buka akun spam akun whatsaap retas orang bertanggung pelanggaran mohon buka terimakasih,netral
males update nya 2 jam udh selesai,netral
tolong buka lagih wa sayah,netral
gk update,netral
mantap,positif
bagus,positif
good mantap,positif
wa error habis buka channel chat nya langsung hilang,netral
sy br 5 bintang,netral
5,netral
wa masuk aplikasi wati ijin pemilik hp nya gak paham,netral
bagus,positif
good,netral
akun whatsapp ijinmohon dipulihkan,netral
oke,netral
video yg save dr gugel ga masuk wa kirim galeri deh,netral
whatsapp blor udh 11 kali ganti kartu syasoal nya bisnis min,netral
,netral
aj bintanya jelek kli aplikasi nyaaaaaaaaaaaaa,negatif
wa nya tambahin fitur tarik pesan min,netral
bagus,positif
bug nya duuuhsemoga lekas atasipadahal update,netral
baguslah,positif
kalo nambah kontak reset kontak cape sv ulang,netral
ok,netral
suka memudahkan komunikasi,netral
terima kasih bermanfaat ya status urut bedasarkan jam yg posting mengacak brngkli tips khusus dev trims,netral
terima kasih,netral
bug sepele bikin susah aplikasi durasi stiker emoticon mohon diperbaiki,netral
instal,netral
mudahan dibuka akun nya,netral
update wa,netral
ya whatsapp kena spam udah ganti no tlp akun gak paka nya ya seting,netral
kecewa bug whatsapp tibatiba mendownload pesan suara foto file membackup chat menginstal ulang whatsapp yap chat pulihkan membackup data hilang kecewa whatsapp,negatif
iya,netral
alhamdulilah udah dapat5 bintang,netral
gi mna reting kli wa aj gak kopeten berbelit2 dlm layanan publik jg menghambat dlm yg kehendaki publik,netral
kebanyaksn updet,netral
ok,netral
bgus,netral
bagus,positif
sanggat baguus,netral
bgus,netral
suka,netral
pingin,netral
ok,netral
wa d spamblokirpadahal sharemenyebar yg melanggar hukum wa kena spam,netral
mantap,positif
hapussssss ajaaa filterr filterrrr,netral
w a senang teman persaudaraan rekan bisnis,positif
whatsapp terhenti,netral
wa bermasalah tiba2 pemulihan chat dikeluarkan sungguh mencurigakan,netral
gak dapet nomor orang bantu,netral
buatt streakkk oiii kek tiktok,netral
gak download foto vidio vn dll,netral
lumayan bagus sih suka apilakasih cht tan sam kelaura orng pokok nya bagus bgttttttt,positif
cakep memudahkan,netral
bagus,positif
aman aman,netral
membantu,netral
,netral
bagus,positif
ya pas ngirim video error kalo uda kirim ngga pas d kirim d liat eror g bagus banget,positif
,netral
wasap kaduwrsa,netral
good,netral
filter wa ngak muncul nya wa fitur vc miror update,netral
eror,netral
akun whatsap tolong diperbaiki akun,netral
